rank,Freq
540,928632
541,924575
542,924370
543,923047
544,920984
545,919843
546,919407
547,914372
548,913939
549,911981
550,911311
551,910162
552,910032
553,907828
554,907066
555,906705
556,905649
557,905520
558,905281
559,904758
560,904694
561,901466
562,900874
563,900040
564,897536
565,897218
566,894925
567,894600
568,893826
569,893214
570,892142
571,890228
572,889644
573,889447
574,889163
575,889019
576,887220
577,886361
578,886343
579,883336
580,883295
581,880902
582,880451
583,878589
584,878037
585,876445
586,875746
587,873918
588,871682
589,869599
590,869186
591,869060
592,867562
593,865354
594,864577
595,863771
596,859349
597,859070
598,855579
599,852454
600,851738
601,851312
602,846750
603,845711
604,844777
605,843956
606,843219
607,841966
608,841780
609,841267
610,840932
611,840064
612,839566
613,838554
614,835352
615,835259
616,833782
617,833237
618,831815
619,830603
620,828643
621,828305
622,828065
623,825074
624,824417
625,824378
626,823870
627,823491
628,821781
629,820969
630,820752
631,820047
632,817265
633,815939
634,815303
635,814063
636,813538
637,813315
638,812888
639,812772
640,811435
641,811293
642,810972
643,810633
644,808419
645,806723
646,806331
647,805364
648,804564
649,802849
650,802826
651,799785
652,797639
653,796264
654,786745
655,786713
656,783588
657,782636
658,781151
659,777817
660,777790
661,776054
662,774880
663,772394
664,772266
665,769425
666,768616
667,767636
668,766893
669,766483
670,765242
671,764883
672,764044
673,762808
674,760634
675,760482
676,758858
677,758858
678,758115
679,757726
680,756232
681,753931
682,752323
683,751024
684,743559
685,743338
686,740538
687,740529
688,739871
689,736984
690,736874
691,733202
692,732144
693,731563
694,729609
695,729107
696,728743
697,728707
698,727371
699,726232
700,725803
701,725320
702,725202
703,725062
704,724948
705,723998
706,720411
707,720307
708,719720
709,719603
710,719012
711,718680
712,718467
713,716061
714,715997
715,715581
716,713549
717,713273
718,712055
719,711673
720,710320
721,709177
722,707728
723,707306
724,705995
725,705508
726,705325
727,704137
728,703710
729,703698
730,703498
731,703413
732,700466
733,700095
734,698844
735,698149
736,697769
737,697042
738,696856
739,696610
740,694784
741,694297
742,693349
743,693323
744,691389
745,690953
746,690447
747,689884
748,688086
749,687732
750,687460
751,686786
752,686163
753,686121
754,685262
755,685239
756,685233
757,683882
758,683849
759,682959
760,682677
761,682654
762,682507
763,682458
764,680986
765,679318
766,679147
767,678612
768,677984
769,677691
770,677201
771,676814
772,675403
773,674189
774,673380
775,673061
776,672501
777,672335
778,670377
779,670256
780,669843
781,668550
782,668419
783,668381
784,667589
785,664915
786,664304
787,663455
788,662870
789,662470
790,662172
791,662003
792,661614
793,661038
794,659410
795,658956
796,658535
797,656977
798,655595
799,655472
800,653940
801,652396
802,652053
